Onglet source,Catégorie,Type,Nom officiel (EN),Prix,Dégâts,Portée,Rechargement,Bulk,Mains,Groupe,Traits,Niveau,Rareté,Livre,Source,Livre / source,Ensemble,Catégorie PF2e,Rareté / accès,Nature,Notes,Bonus CA,Dex max.,Pénalité tests,Pénalité vitesse,Force requise,Dureté,PV,Seuil de rupture (BT)
Armes standards,Martial,Mêlée,Scimitar,1 gp,1d6 S,,,1,1,Sword,"Forceful, sweep",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=38&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Scythe,2 gp,1d10 S,,,2,2,Polearm,"Deadly d10, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=39&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Shield bash,—,1d4 B,,,—,1,Shield,—,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=40&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Shield boss,5 sp,1d6 B,,,—,1,Shield,Attached to shield,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=41&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Shield spikes,5 sp,1d6 P,,,—,1,Shield,Attached to shield,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=42&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Shortsword,9 sp,1d6 P,,,L,1,Sword,"Agile, finesse, versatile S",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=43&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Starknife,2 gp,1d4 P,,,L,1,Knife,"Agile, deadly d6, finesse, thrown 20 ft., versatile S",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=44&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Sword cane,5 gp,1d6 P,,,1,1,Sword,"Agile, concealable, finesse",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=127&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Trident,1 gp,1d8 P,,,1,1,Spear,Thrown 20 ft.,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=45&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,War flail,2 gp,1d10 B,,,2,2,Flail,"Disarm, sweep, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=46&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Warhammer,1 gp,1d8 B,,,1,1,Hammer,Shove,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=47&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Mêlée,Whip,1 sp,1d4 S,,,1,1,Flail,"Disarm, finesse, nonlethal, reach, trip",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=48&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Blowgun,1 sp,1 P,20 ft.,1,L,1,Dart,"Agile, nonlethal",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=66&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Crossbow,3 gp,1d8 P,120 ft.,1,1,2,Crossbow,—,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=67&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Dart,1 cp,1d4 P,20 ft.,—,L,1,Dart,"Agile, thrown",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=68&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Hand crossbow,3 gp,1d6 P,60 ft.,1,L,1,Crossbow,—,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=69&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Heavy crossbow,4 gp,1d10 P,120 ft.,2,2,2,Crossbow,—,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=70&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Javelin,1 sp,1d6 P,30 ft.,—,L,1,Dart,Thrown,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=71&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Simple,Distance,Sling,0,1d6 B,50 ft.,1,L,1,Sling,Propulsive,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=72&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Arbalest,12 gp,1d10 P,110 ft.,1,2,2,Crossbow,Backstabber,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=432,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Bola,5 sp,1d6 B,20 ft.,—,L,1,Sling,"Nonlethal, ranged trip, thrown",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=645&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Composite longbow,20 gp,1d8 P,100 ft.,0,2,1+,Bow,"Deadly d10, propulsive, volley 30 ft.",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=74&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Composite shortbow,14 gp,1d6 P,60 ft.,0,1,1+,Bow,"Deadly d10, propulsive",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=75&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Longbow,6 gp,1d8 P,100 ft.,0,2,1+,Bow,"Deadly d10, volley 30 ft.",0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=76&NoRedirect=1,,,,,,,,,,,,,,
Armes standards,Martial,Distance,Shortbow,3 gp,1d6 P,60 ft.,0,1,1+,Bow,Deadly d10,0,Common,Player Core pp. 277–281,https://2e.aonprd.com/Weapons.aspx?ID=77&NoRedirect=1,,,,,,,,,,,,,,
Armes étendues,,,Clan Dagger,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=13&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Dogslicer,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=49&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Dwarven Waraxe,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=62&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Elven Curve Blade,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=50&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Filcher's Fork,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=51&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Gnome Flickmace,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=63&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Gnome Hooked Hammer,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=52&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Halfling Sling Staff,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=78&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Horsechopper,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=53&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Kama,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=54&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Katana,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=55&NoRedirect=1,Player Core,Armes de base hors sélection commune,Martial,Uncommon,Arme de base non magique,"2 gp; 1d6 S; Deadly d8, Two-Hand d10, Versatile P.",,,,,,,,
Armes étendues,,,Katar,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=14&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Khakkara,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=126&NoRedirect=1,Player Core,Armes de base hors sélection commune,Martial,Uncommon,Arme de base non magique,"2 gp; 1d6 B; Monk, Shove, Two-Hand d10, Versatile P.",,,,,,,,
Armes étendues,,,Kukri,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=56&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Nunchaku,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=57&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Orc Knuckle Dagger,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=58&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Orc Necksplitter,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=64&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Sai,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=59&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Sawtooth Saber,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=65&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Shuriken,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=79&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Spiked Chain,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=60&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Temple Sword,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=61&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Wakizashi,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=129&NoRedirect=1,Player Core,Armes de base hors sélection commune,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Broadspear,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=258&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Daikyu,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=125&NoRedirect=1,Tian Xia Character Guide / Player Core 2,Armes régionales,Advanced,Uncommon,Arme de base non magique,"8 gp; 1d8 P; portée 80 ft.; Forceful, Propulsive.",,,,,,,,
Armes étendues,,,Dandpatta,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=260&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Donchak,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=261&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Gada,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=262&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Kalis,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=263&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Kris,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=264&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Talwar,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=266&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Tengu Gale Blade,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=128&NoRedirect=1,Tian Xia Character Guide / Player Core 2,Armes régionales,Martial,Uncommon,Arme de base non magique,"4 gp; 1d6 S; Agile, Disarm, Finesse, Tengu.",,,,,,,,
Armes étendues,,,Thorn Whip,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=267&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Triggerbrand,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=257&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Visap,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=268&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Zulfikar,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=269&NoRedirect=1,Lost Omens: Impossible Lands,Armes régionales,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Atlatl,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=644&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Barricade Buster,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=657&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Battle Saddle,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=608&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Bec de Corbin,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=609&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Bladed Scarf,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=619&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Boomerang,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=652&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Bow Staff,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=659&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Breaching Pike,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=620&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Butterfly Sword,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=637&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Chain Sword,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=638&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Chakri,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=653&NoRedirect=1,Treasure Vault / Lost Omens: Impossible Lands,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Combat Fishing Pole,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=508,War of Immortals,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Combat Lure,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=621&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Corset Knife,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=606&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Crescent Cross,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=660&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Dancer's Spear,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=610&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Dwarven Dorn-Dergar,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=639&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Earthbreaker,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=611&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Falcata,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=635&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Feng Huo Lun,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=640&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Fighting Fan,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=622&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Fighting Oar,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=505,War of Immortals,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Fishing Lure,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=515,War of Immortals,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Flyssa,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=612&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Frying Pan,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=607&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Gakgung,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=646&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
Armes étendues,,,Gauntlet Bow,,,,,,,,,,,,https://2e.aonprd.com/Weapons.aspx?ID=647&NoRedirect=1,Treasure Vault,Armes supplémentaires,,,Arme de base non magique,,,,,,,,,
