"Nom","Type","Niveau","Rareté","Prix","Page AoN","Prix vérifié AoN","Prix vérifié (pc)","Fiche AoN vérifiée","Nom AoN retenu","Livre AoN","Édition retenue","Niveau AoN","Date vérification"
"Potion of Retaliation (Lesser)","Potion","3","Common","12 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","12 gp","1200","https://2e.aonprd.com/Equipment.aspx?ID=721&NoRedirect=1","Potion of Retaliation (Lesser)","Advanced Player's Guide pg. 259","legacy","3","2026-09-12"
"Potion of Water Breathing","Potion","3","Common","11 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","11 gp","1100","https://2e.aonprd.com/Equipment.aspx?ID=196&NoRedirect=1","Potion of Water Breathing","Core Rulebook pg. 564","legacy","3","2026-09-12"
"Bloodhammer Reserve","Potion","4","Uncommon","20 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","20 gp","2000","https://2e.aonprd.com/Equipment.aspx?ID=2558&NoRedirect=1","Bloodhammer Reserve","Highhelm pg. 86","source_unique","4","2026-09-12"
"Bottled Omen","Potion","4","Rare","20 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","20 gp","2000","https://2e.aonprd.com/Equipment.aspx?ID=1822&NoRedirect=1","Bottled Omen","Pathfinder #187: The Seventh Arch pg. 81","legacy","4","2026-09-12"
"Invisibility Potion","Potion","4","Uncommon","20 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","20 gp","2000","https://2e.aonprd.com/Equipment.aspx?ID=187&NoRedirect=1","Invisibility Potion","Core Rulebook pg. 563","legacy","4","2026-09-12"
"Oak Potion","Potion","4","Common","15 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","15 gp","1500","https://2e.aonprd.com/Equipment.aspx?ID=184&NoRedirect=1","Barkskin Potion","Core Rulebook pg. 562","legacy","4","2026-09-12"
"Potion of Passing Fancy","Potion","4","Uncommon","20 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","20 gp","2000","https://2e.aonprd.com/Equipment.aspx?ID=3637&NoRedirect=1","Potion of Passing Fancy","Pathfinder #205: Singer, Stalker, Skinsaw Man pg. 81","source_unique","4","2026-09-12"
"Shrinking Potion","Potion","4","Common","15 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","15 gp","1500","https://2e.aonprd.com/Equipment.aspx?ID=197&NoRedirect=1","Shrinking Potion","Core Rulebook pg. 564","legacy","4","2026-09-12"
"Sure-Step Potion","Potion","4","Common","17 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","17 gp","1700","https://2e.aonprd.com/Equipment.aspx?ID=4627&NoRedirect=1","Sure-Step Potion","Treasure Vault pg. 91","legacy","4","2026-09-12"
"Fu Water","Potion","5","Common","21 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","21 gp","2100","https://2e.aonprd.com/Equipment.aspx?ID=987&NoRedirect=1","Fu Water","Secrets of Magic pg. 161","legacy","5","2026-09-12"
"Green Wyrmling Breath Potion","Potion","5","Common","30 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","30 gp","3000","https://2e.aonprd.com/Equipment.aspx?ID=911&NoRedirect=1","Green Wyrmling Breath Potion","Pathfinder Beginner Box: Game Master's Guide pg. 53","legacy","5","2026-09-12"
"Potion of Disguise (Lesser)","Potion","5","Uncommon","30 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","30 gp","3000","https://2e.aonprd.com/Equipment.aspx?ID=719&NoRedirect=1","Potion of Disguise (Lesser)","Advanced Player's Guide pg. 258","legacy","5","2026-09-12"
"Potion of Resistance (Lesser)","Potion","5","Common","45 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","45 gp","4500","https://2e.aonprd.com/Equipment.aspx?ID=192&NoRedirect=1","Potion of Resistance (Lesser)","Core Rulebook pg. 563","legacy","6","2026-09-12"
"Wine of the Blood","Potion","5","Rare","30 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","30 gp","3000","https://2e.aonprd.com/Equipment.aspx?ID=1635&NoRedirect=1","Wine of the Blood","Dark Archive pg. 114","legacy","5","2026-09-12"
"Bloodhammer Reserve (Select)","Potion","6","Uncommon","35 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","35 gp","3500","https://2e.aonprd.com/Equipment.aspx?ID=2558&NoRedirect=1","Bloodhammer Reserve (Select)","Highhelm pg. 86","source_unique","6","2026-09-12"
"Eidetic Potion","Potion","6","Common","40 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","40 gp","4000","https://2e.aonprd.com/Equipment.aspx?ID=4614&NoRedirect=1","Eidetic Potion","Treasure Vault pg. 89","legacy","6","2026-09-12"
"Healing Potion (Moderate)","Potion","6","Common","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=186&NoRedirect=1","Healing Potion (Moderate)","Core Rulebook pg. 563","legacy","6","2026-09-12"
"Lesser Crimson Godsblood Serum","Potion","6","Rare","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=3762&NoRedirect=1","Lesser Crimson Godsblood Serum","Shining Kingdoms pg. 52","source_unique","6","2026-09-12"
"Octopus Potion (Lesser)","Potion","6","Common","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=2630&NoRedirect=1","Octopus Potion (Lesser)","Rage of Elements pg. 178","remaster_sans_tarif_legacy","6","2026-09-12"
"Philter of Empty Dreams","Potion","6","Rare","90 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","90 gp","9000","https://2e.aonprd.com/Equipment.aspx?ID=3454&NoRedirect=1","Philter of Empty Dreams","Pathfinder #200: Seven Dooms for Sandpoint pg. 185","source_unique","6","2026-09-12"
"Potion of Retaliation (Moderate)","Potion","6","Common","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=721&NoRedirect=1","Potion of Retaliation (Moderate)","Advanced Player's Guide pg. 259","legacy","6","2026-09-12"
"Potion of Swimming","Potion","6","Common","50 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","50 gp","5000","https://2e.aonprd.com/Equipment.aspx?ID=193&NoRedirect=1","Potion of Swimming","Core Rulebook pg. 563","legacy","6","2026-09-12"
"Tentacle Potion (Lesser)","Potion","6","Common","33 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","33 gp","3300","https://2e.aonprd.com/Equipment.aspx?ID=4628&NoRedirect=1","Tentacle Potion (Lesser)","Treasure Vault pg. 91","legacy","6","2026-09-12"
"Truth Potion","Potion","6","Uncommon","46 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","46 gp","4600","https://2e.aonprd.com/Equipment.aspx?ID=200&NoRedirect=1","Truth Potion","Core Rulebook pg. 564","legacy","6","2026-09-12"
"Empath's Cordial","Potion","7","Common","65 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","65 gp","6500","https://2e.aonprd.com/Equipment.aspx?ID=4616&NoRedirect=1","Empath's Cordial","Treasure Vault pg. 89","legacy","7","2026-09-12"
"Energy Breath Potion (Lesser)","Potion","7","Common","70 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","70 gp","7000","https://2e.aonprd.com/Equipment.aspx?ID=185&NoRedirect=1","Dragon's Breath Potion (Young)","Core Rulebook pg. 562","legacy","7","2026-09-12"
"Fey Dragonet Liqueur (Lesser)","Potion","7","Uncommon","70 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","70 gp","7000","https://2e.aonprd.com/Equipment.aspx?ID=4618&NoRedirect=1","Faerie Dragon Liqueur (Young)","Treasure Vault pg. 89","legacy","7","2026-09-12"
"Hovering Potion","Potion","7","Common","55 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","55 gp","5500","https://2e.aonprd.com/Equipment.aspx?ID=4619&NoRedirect=1","Hovering Potion","Treasure Vault pg. 90","legacy","7","2026-09-12"
"Ration Tonic (Greater)","Potion","7","Common","55 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","55 gp","5500","https://2e.aonprd.com/Equipment.aspx?ID=723&NoRedirect=1","Ration Tonic (Greater)","Advanced Player's Guide pg. 259","legacy","7","2026-09-12"
"Serum of Sex Shift","Potion","7","Common","60 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","60 gp","6000","https://2e.aonprd.com/Equipment.aspx?ID=198&NoRedirect=1","Serum of Sex Shift","Core Rulebook pg. 564","legacy","7","2026-09-12"
"Bloodhammer Reserve (Black Label)","Potion","8","Uncommon","100 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","100 gp","10000","https://2e.aonprd.com/Equipment.aspx?ID=2558&NoRedirect=1","Bloodhammer Reserve (Black Label)","Highhelm pg. 86","source_unique","8","2026-09-12"
"Potion of Disguise (Moderate)","Potion","8","Uncommon","100 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","100 gp","10000","https://2e.aonprd.com/Equipment.aspx?ID=719&NoRedirect=1","Potion of Disguise (Moderate)","Advanced Player's Guide pg. 258","legacy","8","2026-09-12"
"Potion of Flying","Potion","8","Common","100 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","100 gp","10000","https://2e.aonprd.com/Equipment.aspx?ID=189&NoRedirect=1","Potion of Flying","Core Rulebook pg. 563","legacy","8","2026-09-12"
"Potion of Quickness","Potion","8","Common","90 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","90 gp","9000","https://2e.aonprd.com/Equipment.aspx?ID=191&NoRedirect=1","Potion of Quickness","Core Rulebook pg. 563","legacy","8","2026-09-12"
"Potion of Shared Life","Potion","8","Common","95 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","95 gp","9500","https://2e.aonprd.com/Equipment.aspx?ID=1030&NoRedirect=1","Potion of Shared Life","Secrets of Magic pg. 175","source_unique","8","2026-09-12"
"Quenching Potion","Potion","8","Common","85 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","85 gp","8500","https://2e.aonprd.com/Equipment.aspx?ID=4622&NoRedirect=1","Quenching Potion","Treasure Vault pg. 90","legacy","8","2026-09-12"
"Roaring Potion (Lesser)","Potion","8","Common","90 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","90 gp","9000","https://2e.aonprd.com/Equipment.aspx?ID=4624&NoRedirect=1","Roaring Potion (Lesser)","Treasure Vault pg. 90","legacy","8","2026-09-12"
"Shrinking Potion (Greater)","Potion","8","Common","90 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","90 gp","9000","https://2e.aonprd.com/Equipment.aspx?ID=197&NoRedirect=1","Shrinking Potion (Greater)","Core Rulebook pg. 564","legacy","8","2026-09-12"
"Octopus Potion (Moderate)","Potion","9","Common","130 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","130 gp","13000","https://2e.aonprd.com/Equipment.aspx?ID=2630&NoRedirect=1","Octopus Potion (Moderate)","Rage of Elements pg. 178","remaster_sans_tarif_legacy","9","2026-09-12"
"Potion of Minute Echoes","Potion","9","Common","125 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","125 gp","12500","https://2e.aonprd.com/Equipment.aspx?ID=1028&NoRedirect=1","Potion of Minute Echoes","Secrets of Magic pg. 175","legacy","9","2026-09-12"
"Effervescent Decoction","Potion","10","Uncommon","160 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","160 gp","16000","https://2e.aonprd.com/Equipment.aspx?ID=1608&NoRedirect=1","Effervescent Decoction","Pathfinder #180: The Smoking Gun pg. 76","source_unique","10","2026-09-12"
"Immovable Potion","Potion","10","Common","160 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","160 gp","16000","https://2e.aonprd.com/Equipment.aspx?ID=4620&NoRedirect=1","Immovable Potion","Treasure Vault pg. 90","legacy","10","2026-09-12"
"Mutagenic Renovator","Potion","10","Uncommon","180 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","180 gp","18000","https://2e.aonprd.com/Equipment.aspx?ID=1610&NoRedirect=1","Mutagenic Renovator","Pathfinder #180: The Smoking Gun pg. 77","source_unique","10","2026-09-12"
"Potion of Annulment (Lesser)","Potion","10","Rare","200 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","200 gp","20000","https://2e.aonprd.com/Equipment.aspx?ID=1711&NoRedirect=1","Potion of Annulment (Lesser)","Pathfinder #182: Graveclaw pg. 77","source_unique","10","2026-09-12"
"Potion of Grounding","Potion","10","Common","185 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","185 gp","18500","https://2e.aonprd.com/Equipment.aspx?ID=1027&NoRedirect=1","Potion of Grounding","Secrets of Magic pg. 174","legacy","10","2026-09-12"
"Potion of Resistance (Moderate)","Potion","10","Common","180 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","180 gp","18000","https://2e.aonprd.com/Equipment.aspx?ID=192&NoRedirect=1","Potion of Resistance (Moderate)","Core Rulebook pg. 563","legacy","10","2026-09-12"
"Potion of Stable Form","Potion","10","Common","180 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","180 gp","18000","https://2e.aonprd.com/Equipment.aspx?ID=1029&NoRedirect=1","Potion of Stable Form","Secrets of Magic pg. 175","legacy","10","2026-09-12"
"Sairazul Blue","Potion","10","Rare","180 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","180 gp","18000","https://2e.aonprd.com/Equipment.aspx?ID=2594&NoRedirect=1","Sairazul Blue","Rage of Elements pg. 100","remaster_sans_tarif_legacy","10","2026-09-12"
"Tentacle Potion (Moderate)","Potion","10","Common","155 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","155 gp","15500","https://2e.aonprd.com/Equipment.aspx?ID=4628&NoRedirect=1","Tentacle Potion (Moderate)","Treasure Vault pg. 91","legacy","10","2026-09-12"
"Vengeful Demon's Tears","Potion","10","Uncommon","160 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","160 gp","16000","https://2e.aonprd.com/Equipment.aspx?ID=3159&NoRedirect=1","Vengeful Demon's Tears","Pathfinder #199: To Bloom Below the Web pg. 74","legacy","10","2026-09-12"
"Enigma-Sight Potion","Potion","11","Common","250 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","250 gp","25000","https://2e.aonprd.com/Equipment.aspx?ID=4617&NoRedirect=1","Enigma-Sight Potion","Treasure Vault pg. 89","legacy","11","2026-09-12"
"Potion of Disguise (Greater)","Potion","11","Uncommon","300 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","300 gp","30000","https://2e.aonprd.com/Equipment.aspx?ID=719&NoRedirect=1","Potion of Disguise (Greater)","Advanced Player's Guide pg. 258","legacy","11","2026-09-12"
"Potion of Swimming (Greater)","Potion","11","Common","250 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","250 gp","25000","https://2e.aonprd.com/Equipment.aspx?ID=193&NoRedirect=1","Potion of Swimming (Greater)","Core Rulebook pg. 563","legacy","11","2026-09-12"
"Dragonfly Potion","Potion","12","Uncommon","310 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","310 gp","31000","https://2e.aonprd.com/Equipment.aspx?ID=1272&NoRedirect=1","Dragonfly Potion","Grand Bazaar pg. 26","source_unique","12","2026-09-12"
"Elysian Dew","Potion","12","Uncommon","375 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","375 gp","37500","https://2e.aonprd.com/Equipment.aspx?ID=4615&NoRedirect=1","Elysian Dew","Treasure Vault pg. 89","legacy","12","2026-09-12"
"Energy Breath Potion (Moderate)","Potion","12","Common","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=185&NoRedirect=1","Dragon's Breath Potion (Adult)","Core Rulebook pg. 562","legacy","12","2026-09-12"
"Fey Dragonet Liqueur","Potion","12","Uncommon","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=4618&NoRedirect=1","Faerie Dragon Liqueur (Adult)","Treasure Vault pg. 89","legacy","12","2026-09-12"
"Greater Soldier's Syrup","Potion","12","Uncommon","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=4002&NoRedirect=1","Greater Soldier's Syrup","Pathfinder #218: Titanbane
 pg. 80","source_unique","12","2026-09-12"
"Moderate Crimson Godsblood Serum","Potion","12","Rare","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=3762&NoRedirect=1","Moderate Crimson Godsblood Serum","Shining Kingdoms pg. 52","source_unique","12","2026-09-12"
"Phoenix Flask","Potion","12","Common","350 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","350 gp","35000","https://2e.aonprd.com/Equipment.aspx?ID=1026&NoRedirect=1","Phoenix Flask","Secrets of Magic pg. 174","legacy","12","2026-09-12"
"Potion of Retaliation (Greater)","Potion","12","Common","400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","400 gp","40000","https://2e.aonprd.com/Equipment.aspx?ID=721&NoRedirect=1","Potion of Retaliation (Greater)","Advanced Player's Guide pg. 259","legacy","12","2026-09-12"
"Potion of Truespeech","Potion","12","Uncommon","320 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","320 gp","32000","https://2e.aonprd.com/Equipment.aspx?ID=194&NoRedirect=1","Potion of Tongues","Core Rulebook pg. 563","legacy","12","2026-09-12"
"Cayden's Brew (Double)","Potion","13","Common","480 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","480 gp","48000","https://2e.aonprd.com/Equipment.aspx?ID=4612&NoRedirect=1","Cayden's Brew (Double)","Treasure Vault pg. 88","legacy","13","2026-09-12"
"Octopus Potion (Greater)","Potion","13","Common","500 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","500 gp","50000","https://2e.aonprd.com/Equipment.aspx?ID=2630&NoRedirect=1","Octopus Potion (Greater)","Rage of Elements pg. 178","remaster_sans_tarif_legacy","13","2026-09-12"
"Panacea","Potion","13","Uncommon","450 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","450 gp","45000","https://2e.aonprd.com/Equipment.aspx?ID=188&NoRedirect=1","Panacea","Core Rulebook pg. 563","legacy","13","2026-09-12"
"Roaring Potion (Moderate)","Potion","13","Common","550 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","550 gp","55000","https://2e.aonprd.com/Equipment.aspx?ID=4624&NoRedirect=1","Roaring Potion (Moderate)","Treasure Vault pg. 90","legacy","13","2026-09-12"
"Rovagug's Mud","Potion","13","Common","600 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","600 gp","60000","https://2e.aonprd.com/Equipment.aspx?ID=4625&NoRedirect=1","Rovagug's Mud","Treasure Vault pg. 91","legacy","13","2026-09-12"
"Time Shield Potion","Potion","13","Common","600 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","600 gp","60000","https://2e.aonprd.com/Equipment.aspx?ID=726&NoRedirect=1","Time Shield Potion","Advanced Player's Guide pg. 259","legacy","13","2026-09-12"
"Potion of Resistance (Greater)","Potion","14","Common","850 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","850 gp","85000","https://2e.aonprd.com/Equipment.aspx?ID=192&NoRedirect=1","Potion of Resistance (Greater)","Core Rulebook pg. 563","legacy","14","2026-09-12"
"Tentacle Potion (Greater)","Potion","14","Common","660 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","660 gp","66000","https://2e.aonprd.com/Equipment.aspx?ID=4628&NoRedirect=1","Tentacle Potion (Greater)","Treasure Vault pg. 91","legacy","14","2026-09-12"
"Potion of Annulment (Moderate)","Potion","15","Rare","1,300 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","1,300 gp","130000","https://2e.aonprd.com/Equipment.aspx?ID=1711&NoRedirect=1","Potion of Annulment (Moderate)","Pathfinder #182: Graveclaw pg. 77","source_unique","15","2026-09-12"
"Potion of Flying (Greater)","Potion","15","Common","1,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","1,000 gp","100000","https://2e.aonprd.com/Equipment.aspx?ID=189&NoRedirect=1","Potion of Flying (Greater)","Core Rulebook pg. 563","legacy","15","2026-09-12"
"Potion of Stable Form (Greater)","Potion","16","Common","1,800 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","1,800 gp","180000","https://2e.aonprd.com/Equipment.aspx?ID=1029&NoRedirect=1","Potion of Stable Form (Greater)","Secrets of Magic pg. 175","legacy","16","2026-09-12"
"Truesight Potion","Potion","16","Common","1,500 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","1,500 gp","150000","https://2e.aonprd.com/Equipment.aspx?ID=199&NoRedirect=1","Truesight Potion","Core Rulebook pg. 564","legacy","16","2026-09-12"
"Energy Breath Potion (Greater)","Potion","17","Common","3,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3,000 gp","300000","https://2e.aonprd.com/Equipment.aspx?ID=185&NoRedirect=1","Dragon's Breath Potion (Wyrm)","Core Rulebook pg. 562","legacy","17","2026-09-12"
"Fey Dragonet Liqueur (Greater)","Potion","17","Uncommon","3,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3,000 gp","300000","https://2e.aonprd.com/Equipment.aspx?ID=4618&NoRedirect=1","Faerie Dragon Liqueur (Wyrm)","Treasure Vault pg. 89","legacy","17","2026-09-12"
"Cayden's Brew (Triple)","Potion","18","Common","3,200 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3,200 gp","320000","https://2e.aonprd.com/Equipment.aspx?ID=4612&NoRedirect=1","Cayden's Brew (Triple)","Treasure Vault pg. 88","legacy","18","2026-09-12"
"Greater Crimson Godsblood Serum","Potion","18","Rare","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=3762&NoRedirect=1","Greater Crimson Godsblood Serum","Shining Kingdoms pg. 52","source_unique","18","2026-09-12"
"Healing Potion (Major)","Potion","18","Common","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=186&NoRedirect=1","Healing Potion (Major)","Core Rulebook pg. 563","legacy","18","2026-09-12"
"Major Soldier's Syrup","Potion","18","Uncommon","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=4002&NoRedirect=1","Major Soldier's Syrup","Pathfinder #218: Titanbane
 pg. 80","source_unique","18","2026-09-12"
"Potion of Retaliation (Major)","Potion","18","Common","5,000 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","5,000 gp","500000","https://2e.aonprd.com/Equipment.aspx?ID=721&NoRedirect=1","Potion of Retaliation (Major)","Advanced Player's Guide pg. 259","legacy","18","2026-09-12"
"Potion of Undetectability","Potion","18","Common","4,400 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","4,400 gp","440000","https://2e.aonprd.com/Equipment.aspx?ID=195&NoRedirect=1","Potion of Undetectability","Core Rulebook pg. 563","legacy","18","2026-09-12"
"Roaring Potion (Greater)","Potion","18","Common","3,600 gp","https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18","3,600 gp","360000","https://2e.aonprd.com/Equipment.aspx?ID=4624&NoRedirect=1","Roaring Potion (Greater)","Treasure Vault pg. 90","legacy","18","2026-09-12"
