Nom,Type,Niveau,Rareté,Prix,Page AoN
Sure-Step Potion,Potion,4,Common,17 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Fu Water,Potion,5,Common,21 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Green Wyrmling Breath Potion,Potion,5,Common,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Disguise (Lesser),Potion,5,Uncommon,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Resistance (Lesser),Potion,5,Common,45 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Wine of the Blood,Potion,5,Rare,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Bloodhammer Reserve (Select),Potion,6,Uncommon,35 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Eidetic Potion,Potion,6,Common,40 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Healing Potion (Moderate),Potion,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Lesser Crimson Godsblood Serum,Potion,6,Rare,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Octopus Potion (Lesser),Potion,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Philter of Empty Dreams,Potion,6,Rare,90 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Retaliation (Moderate),Potion,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Swimming,Potion,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Tentacle Potion (Lesser),Potion,6,Common,33 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Truth Potion,Potion,6,Uncommon,46 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Empath's Cordial,Potion,7,Common,65 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Energy Breath Potion (Lesser),Potion,7,Common,70 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Fey Dragonet Liqueur (Lesser),Potion,7,Uncommon,70 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Hovering Potion,Potion,7,Common,55 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Ration Tonic (Greater),Potion,7,Common,55 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Serum of Sex Shift,Potion,7,Common,60 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Bloodhammer Reserve (Black Label),Potion,8,Uncommon,100 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Disguise (Moderate),Potion,8,Uncommon,100 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Flying,Potion,8,Common,100 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Quickness,Potion,8,Common,90 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Shared Life,Potion,8,Common,95 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Quenching Potion,Potion,8,Common,85 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Roaring Potion (Lesser),Potion,8,Common,90 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Shrinking Potion (Greater),Potion,8,Common,90 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Octopus Potion (Moderate),Potion,9,Common,130 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Minute Echoes,Potion,9,Common,125 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Effervescent Decoction,Potion,10,Uncommon,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Immovable Potion,Potion,10,Common,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Mutagenic Renovator,Potion,10,Uncommon,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Annulment (Lesser),Potion,10,Rare,200 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Grounding,Potion,10,Common,185 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Resistance (Moderate),Potion,10,Common,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Stable Form,Potion,10,Common,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Sairazul Blue,Potion,10,Rare,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Tentacle Potion (Moderate),Potion,10,Common,155 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Vengeful Demon's Tears,Potion,10,Uncommon,160 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Enigma-Sight Potion,Potion,11,Common,250 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Disguise (Greater),Potion,11,Uncommon,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Swimming (Greater),Potion,11,Common,250 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Dragonfly Potion,Potion,12,Uncommon,310 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Elysian Dew,Potion,12,Uncommon,375 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Energy Breath Potion (Moderate),Potion,12,Common,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Fey Dragonet Liqueur,Potion,12,Uncommon,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Greater Soldier's Syrup,Potion,12,Uncommon,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Moderate Crimson Godsblood Serum,Potion,12,Rare,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Phoenix Flask,Potion,12,Common,350 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Retaliation (Greater),Potion,12,Common,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Truespeech,Potion,12,Uncommon,320 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Cayden's Brew (Double),Potion,13,Common,480 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Octopus Potion (Greater),Potion,13,Common,500 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Panacea,Potion,13,Uncommon,450 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Roaring Potion (Moderate),Potion,13,Common,550 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Rovagug's Mud,Potion,13,Common,600 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Time Shield Potion,Potion,13,Common,600 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Resistance (Greater),Potion,14,Common,850 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Tentacle Potion (Greater),Potion,14,Common,660 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Annulment (Moderate),Potion,15,Rare,"1,300 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Flying (Greater),Potion,15,Common,"1,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Stable Form (Greater),Potion,16,Common,"1,800 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Truesight Potion,Potion,16,Common,"1,500 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Energy Breath Potion (Greater),Potion,17,Common,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Fey Dragonet Liqueur (Greater),Potion,17,Uncommon,"3,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Cayden's Brew (Triple),Potion,18,Common,"3,200 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Greater Crimson Godsblood Serum,Potion,18,Rare,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Healing Potion (Major),Potion,18,Common,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Major Soldier's Syrup,Potion,18,Uncommon,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Retaliation (Major),Potion,18,Common,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Undetectability,Potion,18,Common,"4,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Roaring Potion (Greater),Potion,18,Common,"3,600 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Rovagug's Mud (Greater),Potion,18,Common,"4,800 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Potion of Annulment (Greater),Potion,20,Rare,"13,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Starsong Nectar,Potion,20,Rare,"14,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=18
Digly's Oil of Sympathy (Minor),Huile,1,Rare,40 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Merciful Balm,Huile,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Nectar of Purification,Huile,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Unlife (Minor),Huile,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Shielding Salve,Huile,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Anticorrosion Oil,Huile,2,Common,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Potency,Huile,2,Common,7 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Skating,Huile,2,Common,5 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Weightlessness,Huile,2,Common,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Bane Oil,Huile,3,Uncommon,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Burial Oil,Huile,3,Uncommon,10 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Digly's Oil of Sympathy (Lesser),Huile,3,Rare,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Life-Boosting Oil (Lesser),Huile,3,Uncommon,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Mending,Huile,3,Common,9 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Unlife (Lesser),Huile,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Serpent Oil (Lesser),Huile,3,Common,8 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Anointing Oil,Huile,4,Uncommon,18 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Ghost Oil,Huile,4,Common,18 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Restful Salve,Huile,5,Uncommon,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Serpent Oil (Moderate),Huile,5,Common,24 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Statue Skin Salve,Huile,5,Uncommon,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Tricky Liniment,Huile,5,Common,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Wounding Oil,Huile,5,Uncommon,45 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Cindergrass Poultice,Huile,6,Uncommon,33 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Digly's Oil of Sympathy (Moderate),Huile,6,Rare,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Swiftness,Huile,6,Uncommon,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Unlife (Moderate),Huile,6,Common,50 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Weightlessness (Greater),Huile,6,Common,36 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Salve of Antiparalysis,Huile,6,Common,40 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Life-Boosting Oil (Moderate),Huile,7,Uncommon,70 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Saints' Balm,Huile,7,Uncommon,70 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Serpent Oil (Greater),Huile,7,Common,56 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Topology Protoplasm,Huile,7,Common,70 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Weapon-Weird Oil,Huile,7,Common,55 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Dynamism,Huile,8,Uncommon,85 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Ghostly Portal Paint,Huile,9,Uncommon,120 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Corpse Restoration,Huile,9,Uncommon,150 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Anointing Oil (Greater),Huile,10,Uncommon,180 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Panaceatic Salve,Huile,10,Uncommon,155 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Burial Oil (Greater),Huile,11,Uncommon,250 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Fundamental Oil,Huile,11,Uncommon,220 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Life-Boosting Oil (Greater),Huile,11,Uncommon,300 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Keen Edges,Huile,11,Uncommon,250 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Ownership (Greater),Huile,11,Common,210 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Serpent Oil (Major),Huile,11,Common,225 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Digly's Oil of Sympathy (Greater),Huile,12,Rare,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Animation,Huile,12,Uncommon,330 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Potency (Greater),Huile,12,Common,400 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Salve of Antiparalysis (Greater),Huile,12,Common,325 gp,https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Life-Boosting Oil (Major),Huile,15,Uncommon,"1,300 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Obfuscation Oil,Huile,15,Common,"1,200 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Serpent Oil (True),Huile,15,Common,"1,100 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Dynamism (Greater),Huile,16,Uncommon,"1,400 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Digly's Oil of Sympathy (Major),Huile,18,Rare,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Unlife (Major),Huile,18,Common,"5,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Oil of Potency (Major),Huile,19,Common,"8,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Antimagic Oil,Huile,20,Rare,"13,000 gp",https://2e.aonprd.com/Equipment.aspx?Category=15&Subcategory=17
Addiction Suppressant (Lesser),Élixir,1,Rare,2 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Affliction Suppressant (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antidote (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Antiplague (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bendy-Arm Mutagen (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bestial Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cheetah's Elixir (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cognitive Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Deadweight Mutagen (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Drakeheart Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Eagle-Eye Elixir (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Gender Transformation (Lesser),Élixir,1,Common,1 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (Minor),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elsie's Excellent Bottled Vim,Élixir,1,Rare,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Energy Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Juggernaut Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Leaper's Elixir (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Numbing Tonic (Minor),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Quicksilver Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sanguine Mutagen (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Serene Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Silvertongue Mutagen (Lesser),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Skeptic's Elixir (Lesser),Élixir,1,Uncommon,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Theatrical Mutagen (Lesser),Élixir,1,Common,3 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Vaccine (Minor),Élixir,1,Common,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
War Blood Mutagen (Lesser),Élixir,1,Uncommon,4 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bottled Catharsis (Minor),Élixir,2,Common,5 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Boulderhead Bock,Élixir,2,Uncommon,5 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bravo's Brew (Lesser),Élixir,2,Common,7 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cat's Eye Elixir,Élixir,2,Common,7 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Comprehension Elixir (Lesser),Élixir,2,Common,7 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Darkvision Elixir (Lesser),Élixir,2,Common,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Soothing Tonic (Lesser),Élixir,2,Common,7 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Spiced Demonade,Élixir,2,Rare,8 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Surging Serum (Minor),Élixir,2,Common,5 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Winterstep Elixir (Minor),Élixir,2,Uncommon,6 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bendy-Arm Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Booster (Lesser),Élixir,3,Common,9 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Blood Sight Elixir (Lesser),Élixir,3,Uncommon,100 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cognitive Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Deadweight Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Drakeheart Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Gender Transformation (Moderate),Élixir,3,Common,8 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Energy Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Juggernaut Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Olfactory Obfuscator,Élixir,3,Common,9 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Prey Mutagen (Moderate),Élixir,3,Rare,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Quicksilver Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sanguine Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Serene Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Silvertongue Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Theatrical Mutagen (Moderate),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Vaccine (Lesser),Élixir,3,Common,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
War Blood Mutagen (Moderate),Élixir,3,Uncommon,12 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Applereed Mutagen (Lesser),Élixir,4,Rare,20 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bomber's Eye Elixir (Lesser),Élixir,4,Common,14 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Bottled Catharsis (Lesser),Élixir,4,Common,15 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Capsaicin Tonic,Élixir,4,Uncommon,17 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cooling Elixir (Lesser),Élixir,4,Common,15 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Darkvision Elixir (Moderate),Élixir,4,Common,11 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Lesser Elixir of the Peaks,Élixir,4,Rare,"1 gp, 5 sp",https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Mistform Elixir (Lesser),Élixir,4,Common,18 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Stone Fist Elixir,Élixir,4,Common,13 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Witchwarg Elixir (Lesser),Élixir,4,Common,15 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Cheetah's Elixir (Moderate),Élixir,5,Common,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Contagion Metabolizer (Lesser),Élixir,5,Common,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Elixir of Life (Lesser),Élixir,5,Common,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Ichthyosis Mutagen,Élixir,5,Rare,24 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Numbing Tonic (Lesser),Élixir,5,Common,30 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sea Touch Elixir (Lesser),Élixir,5,Common,22 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
Sixfingers Elixir (Lesser),Élixir,5,Uncommon,25 gp,https://2e.aonprd.com/Equipment.aspx?Category=6&Subcategory=8
